Crop,Disease,Symptoms,Solution
Cotton,Root Rot,sudden wilting of plant despite adequate moisture,Improve field drainage to avoid waterlogging; apply Trichoderma viride or Carbendazim as soil drench; practice crop rotation with non host crops; remove and burn infected plant debris.
Cotton,Root Rot,leaves drooping and drying while roots decay,Improve field drainage to avoid waterlogging; apply Trichoderma viride or Carbendazim as soil drench; practice crop rotation with non host crops; remove and burn infected plant debris.
Rice,Bacterial Blight,leaf tips turning straw colored and curling,Use resistant rice varieties; avoid excess nitrogen application; apply Copper oxychloride or Streptocycline spray; drain excess standing water from field; use disease free seeds.
Rice,Rice Blast,spindle shaped spots with brown border on leaf,Apply Tricyclazole or Isoprothiolane fungicide at boot leaf stage; maintain balanced nitrogen dose; avoid dense planting; use blast resistant seed varieties; drain field periodically.
Sugarcane,Red Rot,internal tissue turning red with white cross bands,Use disease free healthy setts for planting; treat setts with Carbendazim before sowing; remove and burn infected cane clumps; avoid ratooning in severely infected fields; grow resistant varieties.
Maize,Rust,pustules arranged in irregular rows on leaf,Apply Mancozeb or Propiconazole fungicide; grow rust resistant hybrid seeds; ensure timely sowing to avoid peak humidity period; avoid excess nitrogen application.
Sugarcane,Red Rot,drying of top leaves known as top rot,Use disease free healthy setts for planting; treat setts with Carbendazim before sowing; remove and burn infected cane clumps; avoid ratooning in severely infected fields; grow resistant varieties.
Wheat,Powdery Mildew,dense white fungal mat on crowded plant leaves,Apply sulfur based fungicide or Propiconazole spray; ensure proper plant spacing for good airflow; avoid excessive irrigation and nitrogen; remove and destroy infected leaves.
Maize,Leaf Blight,long boat shaped lesions along leaf midrib,Spray Mancozeb or Carbendazim fungicide at early symptom stage; practice crop rotation; remove and destroy infected crop debris after harvest; use resistant maize hybrids.
Cotton,Leaf Curl Virus,small leaf like enations on underside of leaf,Control whitefly vector using Imidacloprid or Thiamethoxam spray; remove and destroy infected plants immediately; use virus free certified seeds; avoid growing cotton near okra fields.
Maize,Rust,leaves showing rust spots turning dark brown later,Apply Mancozeb or Propiconazole fungicide; grow rust resistant hybrid seeds; ensure timely sowing to avoid peak humidity period; avoid excess nitrogen application.
Maize,Rust,pustules rupturing to release rust colored spores,Apply Mancozeb or Propiconazole fungicide; grow rust resistant hybrid seeds; ensure timely sowing to avoid peak humidity period; avoid excess nitrogen application.
Cotton,Leaf Curl Virus,whitefly population high on curled leaf plants,Control whitefly vector using Imidacloprid or Thiamethoxam spray; remove and destroy infected plants immediately; use virus free certified seeds; avoid growing cotton near okra fields.
Wheat,Powdery Mildew,white mildew reducing tillering in wheat plants,Apply sulfur based fungicide or Propiconazole spray; ensure proper plant spacing for good airflow; avoid excessive irrigation and nitrogen; remove and destroy infected leaves.
Rice,Bacterial Blight,leaves wilting and turning grey green then yellow,Use resistant rice varieties; avoid excess nitrogen application; apply Copper oxychloride or Streptocycline spray; drain excess standing water from field; use disease free seeds.
Sugarcane,Smut,smut whips curling at the tip like a snake,Use hot water treated or disease free setts for planting; remove and burn infected shoots and whips immediately before they rupture; grow smut resistant sugarcane varieties; avoid ratooning infected fields.
Cotton,Root Rot,complete plant death within one to two weeks,Improve field drainage to avoid waterlogging; apply Trichoderma viride or Carbendazim as soil drench; practice crop rotation with non host crops; remove and burn infected plant debris.
Rice,Rice Blast,leaf spots enlarging and merging causing leaf death,Apply Tricyclazole or Isoprothiolane fungicide at boot leaf stage; maintain balanced nitrogen dose; avoid dense planting; use blast resistant seed varieties; drain field periodically.
Cotton,Leaf Curl Virus,vein clearing followed by severe leaf curling,Control whitefly vector using Imidacloprid or Thiamethoxam spray; remove and destroy infected plants immediately; use virus free certified seeds; avoid growing cotton near okra fields.
General,Healthy,leaves free of pustules rust spots or mildew,"No disease detected. Continue regular field monitoring, balanced fertilization, proper irrigation scheduling and timely weeding for healthy crop growth."
General,Healthy,no bacterial ooze or lesions on leaf surface,"No disease detected. Continue regular field monitoring, balanced fertilization, proper irrigation scheduling and timely weeding for healthy crop growth."
Sugarcane,Smut,black whip like structure emerging from growing point,Use hot water treated or disease free setts for planting; remove and burn infected shoots and whips immediately before they rupture; grow smut resistant sugarcane varieties; avoid ratooning infected fields.
Sugarcane,Red Rot,white patches within red discolored internode tissue,Use disease free healthy setts for planting; treat setts with Carbendazim before sowing; remove and burn infected cane clumps; avoid ratooning in severely infected fields; grow resistant varieties.
General,Healthy,no wilting or yellowing observed in the field,"No disease detected. Continue regular field monitoring, balanced fertilization, proper irrigation scheduling and timely weeding for healthy crop growth."
Rice,Rice Blast,node infection causing stem to break at joint,Apply Tricyclazole or Isoprothiolane fungicide at boot leaf stage; maintain balanced nitrogen dose; avoid dense planting; use blast resistant seed varieties; drain field periodically.
Maize,Leaf Blight,grayish tan spots with dark border on leaf,Spray Mancozeb or Carbendazim fungicide at early symptom stage; practice crop rotation; remove and destroy infected crop debris after harvest; use resistant maize hybrids.
Rice,Rice Blast,grains not filling due to neck blast infection,Apply Tricyclazole or Isoprothiolane fungicide at boot leaf stage; maintain balanced nitrogen dose; avoid dense planting; use blast resistant seed varieties; drain field periodically.
Sugarcane,Red Rot,red rot progressing upward from base of cane,Use disease free healthy setts for planting; treat setts with Carbendazim before sowing; remove and burn infected cane clumps; avoid ratooning in severely infected fields; grow resistant varieties.
Wheat,Powdery Mildew,white powdery mildew spreading in dense wheat crop,Apply sulfur based fungicide or Propiconazole spray; ensure proper plant spacing for good airflow; avoid excessive irrigation and nitrogen; remove and destroy infected leaves.
General,Healthy,no signs of curling wilting or rotting in plant,"No disease detected. Continue regular field monitoring, balanced fertilization, proper irrigation scheduling and timely weeding for healthy crop growth."
Wheat,Leaf Rust,brown pustules appearing in circular patches on leaf,Spray Propiconazole or Tebuconazole fungicide at first sign of infection; grow rust-resistant wheat varieties; avoid excess nitrogen fertilizer; ensure timely sowing.
Wheat,Leaf Rust,wheat leaves covered with orange to brown pustules,Spray Propiconazole or Tebuconazole fungicide at first sign of infection; grow rust-resistant wheat varieties; avoid excess nitrogen fertilizer; ensure timely sowing.
Sugarcane,Red Rot,external reddish brown lesions on cane rind,Use disease free healthy setts for planting; treat setts with Carbendazim before sowing; remove and burn infected cane clumps; avoid ratooning in severely infected fields; grow resistant varieties.
Cotton,Leaf Curl Virus,reduced boll formation due to leaf curling,Control whitefly vector using Imidacloprid or Thiamethoxam spray; remove and destroy infected plants immediately; use virus free certified seeds; avoid growing cotton near okra fields.
Sugarcane,Smut,excessive tillering with thin whip like shoots,Use hot water treated or disease free setts for planting; remove and burn infected shoots and whips immediately before they rupture; grow smut resistant sugarcane varieties; avoid ratooning infected fields.
Rice,Rice Blast,leaf tip drying following heavy blast infection,Apply Tricyclazole or Isoprothiolane fungicide at boot leaf stage; maintain balanced nitrogen dose; avoid dense planting; use blast resistant seed varieties; drain field periodically.
Maize,Leaf Blight,leaves drying from lower to upper canopy,Spray Mancozeb or Carbendazim fungicide at early symptom stage; practice crop rotation; remove and destroy infected crop debris after harvest; use resistant maize hybrids.
Cotton,Root Rot,roots turning black and rotten on digging,Improve field drainage to avoid waterlogging; apply Trichoderma viride or Carbendazim as soil drench; practice crop rotation with non host crops; remove and burn infected plant debris.
Sugarcane,Red Rot,cross section showing alternate red and white bands,Use disease free healthy setts for planting; treat setts with Carbendazim before sowing; remove and burn infected cane clumps; avoid ratooning in severely infected fields; grow resistant varieties.
Rice,Bacterial Blight,long yellow streaks turning white as disease progresses,Use resistant rice varieties; avoid excess nitrogen application; apply Copper oxychloride or Streptocycline spray; drain excess standing water from field; use disease free seeds.
Wheat,Leaf Rust,rust disease symptoms visible during humid weather,Spray Propiconazole or Tebuconazole fungicide at first sign of infection; grow rust-resistant wheat varieties; avoid excess nitrogen fertilizer; ensure timely sowing.
Maize,Rust,rust colored lesions visible from both leaf sides,Apply Mancozeb or Propiconazole fungicide; grow rust resistant hybrid seeds; ensure timely sowing to avoid peak humidity period; avoid excess nitrogen application.
Maize,Leaf Blight,premature drying of lower maize leaves,Spray Mancozeb or Carbendazim fungicide at early symptom stage; practice crop rotation; remove and destroy infected crop debris after harvest; use resistant maize hybrids.
Maize,Leaf Blight,maize crop showing rapid leaf drying symptoms,Spray Mancozeb or Carbendazim fungicide at early symptom stage; practice crop rotation; remove and destroy infected crop debris after harvest; use resistant maize hybrids.
Rice,Rice Blast,panicle base turning black just before harvest,Apply Tricyclazole or Isoprothiolane fungicide at boot leaf stage; maintain balanced nitrogen dose; avoid dense planting; use blast resistant seed varieties; drain field periodically.
Cotton,Root Rot,plant collapsing suddenly during flowering stage,Improve field drainage to avoid waterlogging; apply Trichoderma viride or Carbendazim as soil drench; practice crop rotation with non host crops; remove and burn infected plant debris.
General,Healthy,no whip or smut structures observed in the field,"No disease detected. Continue regular field monitoring, balanced fertilization, proper irrigation scheduling and timely weeding for healthy crop growth."
General,Healthy,leaves free from spots streaks or powdery growth,"No disease detected. Continue regular field monitoring, balanced fertilization, proper irrigation scheduling and timely weeding for healthy crop growth."
Cotton,Leaf Curl Virus,leaf lamina reduced in size and curled,Control whitefly vector using Imidacloprid or Thiamethoxam spray; remove and destroy infected plants immediately; use virus free certified seeds; avoid growing cotton near okra fields.
Maize,Leaf Blight,leaf blight severe in humid cloudy weather,Spray Mancozeb or Carbendazim fungicide at early symptom stage; practice crop rotation; remove and destroy infected crop debris after harvest; use resistant maize hybrids.
Sugarcane,Smut,stunted thin cane stalks with reduced girth,Use hot water treated or disease free setts for planting; remove and burn infected shoots and whips immediately before they rupture; grow smut resistant sugarcane varieties; avoid ratooning infected fields.
Cotton,Root Rot,yellowing and wilting starting from lower leaves,Improve field drainage to avoid waterlogging; apply Trichoderma viride or Carbendazim as soil drench; practice crop rotation with non host crops; remove and burn infected plant debris.
Wheat,Powdery Mildew,powdery white patches covering wheat leaves,Apply sulfur based fungicide or Propiconazole spray; ensure proper plant spacing for good airflow; avoid excessive irrigation and nitrogen; remove and destroy infected leaves.
Rice,Bacterial Blight,leaves appear scorched with yellow brown patches,Use resistant rice varieties; avoid excess nitrogen application; apply Copper oxychloride or Streptocycline spray; drain excess standing water from field; use disease free seeds.
Cotton,Root Rot,plant death occurring rapidly within few days,Improve field drainage to avoid waterlogging; apply Trichoderma viride or Carbendazim as soil drench; practice crop rotation with non host crops; remove and burn infected plant debris.
Cotton,Root Rot,root rot spreading to neighboring healthy plants,Improve field drainage to avoid waterlogging; apply Trichoderma viride or Carbendazim as soil drench; practice crop rotation with non host crops; remove and burn infected plant debris.
Cotton,Leaf Curl Virus,leaf curl symptoms worsening in dry hot weather,Control whitefly vector using Imidacloprid or Thiamethoxam spray; remove and destroy infected plants immediately; use virus free certified seeds; avoid growing cotton near okra fields.
Wheat,Powdery Mildew,premature leaf yellowing under white powdery mildew,Apply sulfur based fungicide or Propiconazole spray; ensure proper plant spacing for good airflow; avoid excessive irrigation and nitrogen; remove and destroy infected leaves.
Sugarcane,Red Rot,red rot spreading rapidly in ratoon crop,Use disease free healthy setts for planting; treat setts with Carbendazim before sowing; remove and burn infected cane clumps; avoid ratooning in severely infected fields; grow resistant varieties.
Maize,Rust,brown pustules turning black near maturity,Apply Mancozeb or Propiconazole fungicide; grow rust resistant hybrid seeds; ensure timely sowing to avoid peak humidity period; avoid excess nitrogen application.
Cotton,Root Rot,sudden wilting of plant despite adequate moisture,Improve field drainage to avoid waterlogging; apply Trichoderma viride or Carbendazim as soil drench; practice crop rotation with non host crops; remove and burn infected plant debris.
Rice,Bacterial Blight,yellow lesions starting from leaf tip and margin,Use resistant rice varieties; avoid excess nitrogen application; apply Copper oxychloride or Streptocycline spray; drain excess standing water from field; use disease free seeds.
Maize,Rust,leaf surface rough due to numerous rust pustules,Apply Mancozeb or Propiconazole fungicide; grow rust resistant hybrid seeds; ensure timely sowing to avoid peak humidity period; avoid excess nitrogen application.
Wheat,Powdery Mildew,leaves curling with white powdery fungal growth,Apply sulfur based fungicide or Propiconazole spray; ensure proper plant spacing for good airflow; avoid excessive irrigation and nitrogen; remove and destroy infected leaves.
General,Healthy,plant vigor good with no stunting observed,"No disease detected. Continue regular field monitoring, balanced fertilization, proper irrigation scheduling and timely weeding for healthy crop growth."
Wheat,Powdery Mildew,leaf tissue turning pale under white mildew patches,Apply sulfur based fungicide or Propiconazole spray; ensure proper plant spacing for good airflow; avoid excessive irrigation and nitrogen; remove and destroy infected leaves.
Wheat,Powdery Mildew,powdery white fungus visible on lower leaves first,Apply sulfur based fungicide or Propiconazole spray; ensure proper plant spacing for good airflow; avoid excessive irrigation and nitrogen; remove and destroy infected leaves.
Rice,Bacterial Blight,yellow to white stripes along leaf veins,Use resistant rice varieties; avoid excess nitrogen application; apply Copper oxychloride or Streptocycline spray; drain excess standing water from field; use disease free seeds.
Cotton,Root Rot,white fungal growth visible on root surface,Improve field drainage to avoid waterlogging; apply Trichoderma viride or Carbendazim as soil drench; practice crop rotation with non host crops; remove and burn infected plant debris.
Wheat,Powdery Mildew,yellow blotches surrounded by white powdery fungus,Apply sulfur based fungicide or Propiconazole spray; ensure proper plant spacing for good airflow; avoid excessive irrigation and nitrogen; remove and destroy infected leaves.
Wheat,Leaf Rust,leaves appear dusty orange when brushed,Spray Propiconazole or Tebuconazole fungicide at first sign of infection; grow rust-resistant wheat varieties; avoid excess nitrogen fertilizer; ensure timely sowing.
Cotton,Leaf Curl Virus,plant growth stunted with yellow vein leaf curl,Control whitefly vector using Imidacloprid or Thiamethoxam spray; remove and destroy infected plants immediately; use virus free certified seeds; avoid growing cotton near okra fields.
Cotton,Root Rot,wilted plants easily uprooted due to rotten roots,Improve field drainage to avoid waterlogging; apply Trichoderma viride or Carbendazim as soil drench; practice crop rotation with non host crops; remove and burn infected plant debris.
Cotton,Leaf Curl Virus,yellowing of leaf veins in net like pattern,Control whitefly vector using Imidacloprid or Thiamethoxam spray; remove and destroy infected plants immediately; use virus free certified seeds; avoid growing cotton near okra fields.
Sugarcane,Red Rot,cane internode tissue soft and disintegrating,Use disease free healthy setts for planting; treat setts with Carbendazim before sowing; remove and burn infected cane clumps; avoid ratooning in severely infected fields; grow resistant varieties.
Rice,Bacterial Blight,severe leaf drying reducing grain yield in rice,Use resistant rice varieties; avoid excess nitrogen application; apply Copper oxychloride or Streptocycline spray; drain excess standing water from field; use disease free seeds.
General,Healthy,uniform crop growth with no visible pest or disease damage,"No disease detected. Continue regular field monitoring, balanced fertilization, proper irrigation scheduling and timely weeding for healthy crop growth."
Cotton,Leaf Curl Virus,upward curling of leaves with thickened veins,Control whitefly vector using Imidacloprid or Thiamethoxam spray; remove and destroy infected plants immediately; use virus free certified seeds; avoid growing cotton near okra fields.
Rice,Rice Blast,leaf blast symptoms severe in nursery stage,Apply Tricyclazole or Isoprothiolane fungicide at boot leaf stage; maintain balanced nitrogen dose; avoid dense planting; use blast resistant seed varieties; drain field periodically.
Wheat,Leaf Rust,orange streaks visible along leaf veins,Spray Propiconazole or Tebuconazole fungicide at first sign of infection; grow rust-resistant wheat varieties; avoid excess nitrogen fertilizer; ensure timely sowing.
Wheat,Leaf Rust,heavy rust infestation on flag leaf,Spray Propiconazole or Tebuconazole fungicide at first sign of infection; grow rust-resistant wheat varieties; avoid excess nitrogen fertilizer; ensure timely sowing.
Wheat,Powdery Mildew,white fungal spots appear during cool humid weather,Apply sulfur based fungicide or Propiconazole spray; ensure proper plant spacing for good airflow; avoid excessive irrigation and nitrogen; remove and destroy infected leaves.
Maize,Rust,small oval rust colored spots on maize leaves,Apply Mancozeb or Propiconazole fungicide; grow rust resistant hybrid seeds; ensure timely sowing to avoid peak humidity period; avoid excess nitrogen application.
Maize,Rust,dense rust pustules causing leaf curling,Apply Mancozeb or Propiconazole fungicide; grow rust resistant hybrid seeds; ensure timely sowing to avoid peak humidity period; avoid excess nitrogen application.
Sugarcane,Smut,smut disease spreading through infected sett planting,Use hot water treated or disease free setts for planting; remove and burn infected shoots and whips immediately before they rupture; grow smut resistant sugarcane varieties; avoid ratooning infected fields.
Cotton,Leaf Curl Virus,plants showing bushy appearance due to leaf curling,Control whitefly vector using Imidacloprid or Thiamethoxam spray; remove and destroy infected plants immediately; use virus free certified seeds; avoid growing cotton near okra fields.
Wheat,Leaf Rust,circular to oval orange pustules on stem and leaf,Spray Propiconazole or Tebuconazole fungicide at first sign of infection; grow rust-resistant wheat varieties; avoid excess nitrogen fertilizer; ensure timely sowing.
Cotton,Root Rot,root rot symptoms worse in waterlogged soil,Improve field drainage to avoid waterlogging; apply Trichoderma viride or Carbendazim as soil drench; practice crop rotation with non host crops; remove and burn infected plant debris.
Maize,Leaf Blight,leaf blight worse under dense plant population,Spray Mancozeb or Carbendazim fungicide at early symptom stage; practice crop rotation; remove and destroy infected crop debris after harvest; use resistant maize hybrids.
Rice,Rice Blast,grey white centre lesions with reddish brown margin,Apply Tricyclazole or Isoprothiolane fungicide at boot leaf stage; maintain balanced nitrogen dose; avoid dense planting; use blast resistant seed varieties; drain field periodically.
Cotton,Leaf Curl Virus,plants remain stunted with rosette like appearance,Control whitefly vector using Imidacloprid or Thiamethoxam spray; remove and destroy infected plants immediately; use virus free certified seeds; avoid growing cotton near okra fields.
Maize,Leaf Blight,long grayish green lesions on maize leaves,Spray Mancozeb or Carbendazim fungicide at early symptom stage; practice crop rotation; remove and destroy infected crop debris after harvest; use resistant maize hybrids.
Cotton,Leaf Curl Virus,leaf curling reducing overall cotton fiber yield,Control whitefly vector using Imidacloprid or Thiamethoxam spray; remove and destroy infected plants immediately; use virus free certified seeds; avoid growing cotton near okra fields.
Maize,Rust,leaf tips drying under heavy rust pressure,Apply Mancozeb or Propiconazole fungicide; grow rust resistant hybrid seeds; ensure timely sowing to avoid peak humidity period; avoid excess nitrogen application.
Sugarcane,Red Rot,cane juice turning sour and reddish in color,Use disease free healthy setts for planting; treat setts with Carbendazim before sowing; remove and burn infected cane clumps; avoid ratooning in severely infected fields; grow resistant varieties.
Rice,Bacterial Blight,grey white lesions turning yellow then brown,Use resistant rice varieties; avoid excess nitrogen application; apply Copper oxychloride or Streptocycline spray; drain excess standing water from field; use disease free seeds.
Sugarcane,Red Rot,reduced juice quality due to red rot infection,Use disease free healthy setts for planting; treat setts with Carbendazim before sowing; remove and burn infected cane clumps; avoid ratooning in severely infected fields; grow resistant varieties.
Sugarcane,Smut,thin spindly shoots with black whip at top,Use hot water treated or disease free setts for planting; remove and burn infected shoots and whips immediately before they rupture; grow smut resistant sugarcane varieties; avoid ratooning infected fields.
Wheat,Powdery Mildew,leaves look dusted with white flour like powder,Apply sulfur based fungicide or Propiconazole spray; ensure proper plant spacing for good airflow; avoid excessive irrigation and nitrogen; remove and destroy infected leaves.
Sugarcane,Smut,thin spindly shoots with black whip at top,Use hot water treated or disease free setts for planting; remove and burn infected shoots and whips immediately before they rupture; grow smut resistant sugarcane varieties; avoid ratooning infected fields.
Wheat,Powdery Mildew,leaves turning yellow underneath white powdery spots,Apply sulfur based fungicide or Propiconazole spray; ensure proper plant spacing for good airflow; avoid excessive irrigation and nitrogen; remove and destroy infected leaves.
General,Healthy,healthy green foliage with uniform leaf color,"No disease detected. Continue regular field monitoring, balanced fertilization, proper irrigation scheduling and timely weeding for healthy crop growth."
Wheat,Leaf Rust,leaves covered with orange dust like spots,Spray Propiconazole or Tebuconazole fungicide at first sign of infection; grow rust-resistant wheat varieties; avoid excess nitrogen fertilizer; ensure timely sowing.
Cotton,Root Rot,wilting symptoms appearing during peak summer heat,Improve field drainage to avoid waterlogging; apply Trichoderma viride or Carbendazim as soil drench; practice crop rotation with non host crops; remove and burn infected plant debris.
Wheat,Leaf Rust,orange spore masses on both leaf surfaces,Spray Propiconazole or Tebuconazole fungicide at first sign of infection; grow rust-resistant wheat varieties; avoid excess nitrogen fertilizer; ensure timely sowing.
Sugarcane,Red Rot,cane clumps drying prematurely before maturity,Use disease free healthy setts for planting; treat setts with Carbendazim before sowing; remove and burn infected cane clumps; avoid ratooning in severely infected fields; grow resistant varieties.
Sugarcane,Red Rot,leaves wilting and drying while cane looks healthy outside,Use disease free healthy setts for planting; treat setts with Carbendazim before sowing; remove and burn infected cane clumps; avoid ratooning in severely infected fields; grow resistant varieties.
Cotton,Leaf Curl Virus,leaf edges rolling inward forming cup shape,Control whitefly vector using Imidacloprid or Thiamethoxam spray; remove and destroy infected plants immediately; use virus free certified seeds; avoid growing cotton near okra fields.
Cotton,Root Rot,leaves drooping and drying while roots decay,Improve field drainage to avoid waterlogging; apply Trichoderma viride or Carbendazim as soil drench; practice crop rotation with non host crops; remove and burn infected plant debris.
Cotton,Root Rot,roots disintegrating and turning mushy,Improve field drainage to avoid waterlogging; apply Trichoderma viride or Carbendazim as soil drench; practice crop rotation with non host crops; remove and burn infected plant debris.
Sugarcane,Red Rot,leaf midrib showing reddish discoloration,Use disease free healthy setts for planting; treat setts with Carbendazim before sowing; remove and burn infected cane clumps; avoid ratooning in severely infected fields; grow resistant varieties.
Sugarcane,Smut,smut infected canes appearing thin and grassy,Use hot water treated or disease free setts for planting; remove and burn infected shoots and whips immediately before they rupture; grow smut resistant sugarcane varieties; avoid ratooning infected fields.
General,Healthy,no discoloration or lesions observed on leaves,"No disease detected. Continue regular field monitoring, balanced fertilization, proper irrigation scheduling and timely weeding for healthy crop growth."
Cotton,Root Rot,fungal mycelium visible around root zone in soil,Improve field drainage to avoid waterlogging; apply Trichoderma viride or Carbendazim as soil drench; practice crop rotation with non host crops; remove and burn infected plant debris.
Sugarcane,Red Rot,spindle shaped red rot lesions on stalk surface,Use disease free healthy setts for planting; treat setts with Carbendazim before sowing; remove and burn infected cane clumps; avoid ratooning in severely infected fields; grow resistant varieties.
Wheat,Leaf Rust,leaves turning yellow with orange rust spots,Spray Propiconazole or Tebuconazole fungicide at first sign of infection; grow rust-resistant wheat varieties; avoid excess nitrogen fertilizer; ensure timely sowing.
Rice,Bacterial Blight,young seedlings collapsing and turning yellow rapidly,Use resistant rice varieties; avoid excess nitrogen application; apply Copper oxychloride or Streptocycline spray; drain excess standing water from field; use disease free seeds.
Sugarcane,Smut,black spore dust spreading from ruptured whip,Use hot water treated or disease free setts for planting; remove and burn infected shoots and whips immediately before they rupture; grow smut resistant sugarcane varieties; avoid ratooning infected fields.
Rice,Rice Blast,lesions coalescing to form large necrotic patches,Apply Tricyclazole or Isoprothiolane fungicide at boot leaf stage; maintain balanced nitrogen dose; avoid dense planting; use blast resistant seed varieties; drain field periodically.
Maize,Rust,heavy rust infestation causing premature leaf drying,Apply Mancozeb or Propiconazole fungicide; grow rust resistant hybrid seeds; ensure timely sowing to avoid peak humidity period; avoid excess nitrogen application.
Sugarcane,Smut,reduced sucrose content in smut affected canes,Use hot water treated or disease free setts for planting; remove and burn infected shoots and whips immediately before they rupture; grow smut resistant sugarcane varieties; avoid ratooning infected fields.
Sugarcane,Red Rot,field showing patches of prematurely drying cane,Use disease free healthy setts for planting; treat setts with Carbendazim before sowing; remove and burn infected cane clumps; avoid ratooning in severely infected fields; grow resistant varieties.
Maize,Rust,leaves turning yellow around rust colored pustules,Apply Mancozeb or Propiconazole fungicide; grow rust resistant hybrid seeds; ensure timely sowing to avoid peak humidity period; avoid excess nitrogen application.
Cotton,Root Rot,circular patches of wilted plants in field,Improve field drainage to avoid waterlogging; apply Trichoderma viride or Carbendazim as soil drench; practice crop rotation with non host crops; remove and burn infected plant debris.
Sugarcane,Smut,infected clumps showing profuse thin tillering,Use hot water treated or disease free setts for planting; remove and burn infected shoots and whips immediately before they rupture; grow smut resistant sugarcane varieties; avoid ratooning infected fields.
Wheat,Powdery Mildew,reduced photosynthesis due to white fungal coating,Apply sulfur based fungicide or Propiconazole spray; ensure proper plant spacing for good airflow; avoid excessive irrigation and nitrogen; remove and destroy infected leaves.
Maize,Rust,rust spreading rapidly across maize field,Apply Mancozeb or Propiconazole fungicide; grow rust resistant hybrid seeds; ensure timely sowing to avoid peak humidity period; avoid excess nitrogen application.
Maize,Rust,rust colored powder visible on leaf underside,Apply Mancozeb or Propiconazole fungicide; grow rust resistant hybrid seeds; ensure timely sowing to avoid peak humidity period; avoid excess nitrogen application.
Sugarcane,Smut,cane stools showing poor growth with smut whips,Use hot water treated or disease free setts for planting; remove and burn infected shoots and whips immediately before they rupture; grow smut resistant sugarcane varieties; avoid ratooning infected fields.
Cotton,Leaf Curl Virus,stunted plant growth with curled small leaves,Control whitefly vector using Imidacloprid or Thiamethoxam spray; remove and destroy infected plants immediately; use virus free certified seeds; avoid growing cotton near okra fields.
Maize,Leaf Blight,leaf blight symptoms intensifying after rain,Spray Mancozeb or Carbendazim fungicide at early symptom stage; practice crop rotation; remove and destroy infected crop debris after harvest; use resistant maize hybrids.
Cotton,Root Rot,affected plants showing no new leaf growth,Improve field drainage to avoid waterlogging; apply Trichoderma viride or Carbendazim as soil drench; practice crop rotation with non host crops; remove and burn infected plant debris.
Maize,Rust,circular to oval pustules erupting through leaf epidermis,Apply Mancozeb or Propiconazole fungicide; grow rust resistant hybrid seeds; ensure timely sowing to avoid peak humidity period; avoid excess nitrogen application.
Wheat,Powdery Mildew,stem and leaf sheath covered with white mold,Apply sulfur based fungicide or Propiconazole spray; ensure proper plant spacing for good airflow; avoid excessive irrigation and nitrogen; remove and destroy infected leaves.
General,Healthy,crop stand looks healthy and well established,"No disease detected. Continue regular field monitoring, balanced fertilization, proper irrigation scheduling and timely weeding for healthy crop growth."
Wheat,Leaf Rust,orange rust spots spreading rapidly on leaf blade,Spray Propiconazole or Tebuconazole fungicide at first sign of infection; grow rust-resistant wheat varieties; avoid excess nitrogen fertilizer; ensure timely sowing.
Sugarcane,Smut,silvery membrane covering young smut whip initially,Use hot water treated or disease free setts for planting; remove and burn infected shoots and whips immediately before they rupture; grow smut resistant sugarcane varieties; avoid ratooning infected fields.
Rice,Bacterial Blight,leaf margins showing water soaked translucent lesions,Use resistant rice varieties; avoid excess nitrogen application; apply Copper oxychloride or Streptocycline spray; drain excess standing water from field; use disease free seeds.
Wheat,Leaf Rust,orange coloured powdery pustules on leaf surface,Spray Propiconazole or Tebuconazole fungicide at first sign of infection; grow rust-resistant wheat varieties; avoid excess nitrogen fertilizer; ensure timely sowing.
Rice,Bacterial Blight,bacterial exudate visible as yellow droplets in morning,Use resistant rice varieties; avoid excess nitrogen application; apply Copper oxychloride or Streptocycline spray; drain excess standing water from field; use disease free seeds.
Maize,Leaf Blight,large elongated lesions reducing green leaf area,Spray Mancozeb or Carbendazim fungicide at early symptom stage; practice crop rotation; remove and destroy infected crop debris after harvest; use resistant maize hybrids.
Sugarcane,Red Rot,reddening of rind with sunken lesions on stalk,Use disease free healthy setts for planting; treat setts with Carbendazim before sowing; remove and burn infected cane clumps; avoid ratooning in severely infected fields; grow resistant varieties.
Wheat,Powdery Mildew,small circular white powdery spots enlarging over time,Apply sulfur based fungicide or Propiconazole spray; ensure proper plant spacing for good airflow; avoid excessive irrigation and nitrogen; remove and destroy infected leaves.
Rice,Bacterial Blight,leaves rolling and drying from margins inward,Use resistant rice varieties; avoid excess nitrogen application; apply Copper oxychloride or Streptocycline spray; drain excess standing water from field; use disease free seeds.
Wheat,Leaf Rust,orange rust lesions with yellow halo around them,Spray Propiconazole or Tebuconazole fungicide at first sign of infection; grow rust-resistant wheat varieties; avoid excess nitrogen fertilizer; ensure timely sowing.
Maize,Rust,reddish brown pustules on both leaf surfaces,Apply Mancozeb or Propiconazole fungicide; grow rust resistant hybrid seeds; ensure timely sowing to avoid peak humidity period; avoid excess nitrogen application.
Rice,Rice Blast,brown necrotic lesions with grey sporulating centre,Apply Tricyclazole or Isoprothiolane fungicide at boot leaf stage; maintain balanced nitrogen dose; avoid dense planting; use blast resistant seed varieties; drain field periodically.
Sugarcane,Red Rot,reddish discoloration inside the internode on cutting,Use disease free healthy setts for planting; treat setts with Carbendazim before sowing; remove and burn infected cane clumps; avoid ratooning in severely infected fields; grow resistant varieties.
